"Identificador de URL";"Nombre";"Categorías";"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";"Precio";"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";"Stock";"SKU";"Código de barras";"Mostrar en tienda";"Envío sin cargo";"Descripción";"Tags";"Título para SEO";"Descripción para SEO";"Marca";"Producto Físico";"MPN (Número de pieza del fabricante)";"Sexo";"Rango de edad";"Costo"
"magpul-101-pistol-grip-engomado-polimero-refo";"Magpul 101 - PISTOL GRIP ENGOMADO POLIMERO REFORZADO COMPARTIMIENTO PARA GUARDADO";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"29475.6";"";"1";"15";"10";"30";"5";"KEY-101-BK";"";"SI";"NO";"101 - PISTOL GRIP ENGOMADO POLIMERO REFORZADO COMPARTIMIENTO PARA GUARDADO";"magpul";"Magpul 101 - PISTOL GRIP ENGOMADO POLIMERO REFORZADO COMPARTIMIENTO PARA GUARDADO | JGO Armeria";"101 - PISTOL GRIP ENGOMADO POLIMERO REFORZADO COMPARTIMIENTO PARA GUARDADO";"Magpul";"SI";"KEY-101-BK";"";"";""
"magpul-102-pistol-grip-engomado-polimero-refo";"Magpul 102 - PISTOL GRIP ENGOMADO POLIMERO REFORZADO COMPARTIMIENTO PARA GUARDADO";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"29475.6";"";"1";"15";"10";"30";"5";"KEY-102-BK";"";"SI";"NO";"102 - PISTOL GRIP ENGOMADO POLIMERO REFORZADO COMPARTIMIENTO PARA GUARDADO";"magpul";"Magpul 102 - PISTOL GRIP ENGOMADO POLIMERO REFORZADO COMPARTIMIENTO PARA GUARDADO | JGO Armeria";"102 - PISTOL GRIP ENGOMADO POLIMERO REFORZADO COMPARTIMIENTO PARA GUARDADO";"Magpul";"SI";"KEY-102-BK";"";"";""
"magpul-104-pistol-grip-15engomado-polimero-r";"Magpul 104 - PISTOL GRIP 15°ENGOMADO POLIMERO REFORZADO COMPARTIMIENTO PARA GUARDADO";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"31635.45";"";"1";"15";"10";"30";"5";"KEY-104-BK";"";"SI";"NO";"104 - PISTOL GRIP 15°ENGOMADO POLIMERO REFORZADO COMPARTIMIENTO PARA GUARDADO";"magpul";"Magpul 104 - PISTOL GRIP 15°ENGOMADO POLIMERO REFORZADO COMPARTIMIENTO PARA GUARDADO | JGO Armeria";"104 - PISTOL GRIP 15°ENGOMADO POLIMERO REFORZADO COMPARTIMIENTO PARA GUARDADO";"Magpul";"SI";"KEY-104-BK";"";"";""
"magpul-300-juego-de-miras-flip-up-picatinny-b";"Magpul 300 - JUEGO DE MIRAS FLIP UP PICATINNY BAJAS";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"35574";"";"1";"15";"10";"30";"5";"KEY-300-BK";"";"SI";"NO";"300 - JUEGO DE MIRAS FLIP UP PICATINNY BAJAS";"magpul";"Magpul 300 - JUEGO DE MIRAS FLIP UP PICATINNY BAJAS | JGO Armeria";"300 - JUEGO DE MIRAS FLIP UP PICATINNY BAJAS";"Magpul";"SI";"KEY-300-BK";"";"";""
"magpul-301-juego-de-miras-flip-up-picatinny-a";"Magpul 301 - JUEGO DE MIRAS FLIP UP PICATINNY ALTAS";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"35574";"";"1";"15";"10";"30";"5";"KEY-301-BK";"";"SI";"NO";"301 - JUEGO DE MIRAS FLIP UP PICATINNY ALTAS";"magpul";"Magpul 301 - JUEGO DE MIRAS FLIP UP PICATINNY ALTAS | JGO Armeria";"301 - JUEGO DE MIRAS FLIP UP PICATINNY ALTAS";"Magpul";"SI";"KEY-301-BK";"";"";""
"magpul-302-juego-de-miras-flip-up-automaticas";"Magpul 302 - JUEGO DE MIRAS FLIP UP AUTOMATICAS PICATINNY";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"38115";"";"1";"15";"10";"30";"5";"KEY-302-BK";"";"SI";"NO";"302 - JUEGO DE MIRAS FLIP UP AUTOMATICAS PICATINNY";"magpul";"Magpul 302 - JUEGO DE MIRAS FLIP UP AUTOMATICAS PICATINNY | JGO Armeria";"302 - JUEGO DE MIRAS FLIP UP AUTOMATICAS PICATINNY";"Magpul";"SI";"KEY-302-BK";"";"";""
"magpul-303-juego-de-miras-flip-up-offset-a-45";"Magpul 303 - JUEGO DE MIRAS FLIP UP OFFSET A 45° PICATINNY";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"40020.75";"";"1";"15";"10";"30";"5";"KEY-303-BK";"";"SI";"NO";"303 - JUEGO DE MIRAS FLIP UP OFFSET A 45° PICATINNY";"magpul";"Magpul 303 - JUEGO DE MIRAS FLIP UP OFFSET A 45° PICATINNY | JGO Armeria";"303 - JUEGO DE MIRAS FLIP UP OFFSET A 45° PICATINNY";"Magpul";"SI";"KEY-303-BK";"";"";""
"magpul-400-grip-frontal-angular-picatinny";"Magpul 400 - GRIP FRONTAL ANGULAR PICATINNY";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"27569.85";"";"1";"15";"10";"30";"5";"KEY-400-BK";"";"SI";"NO";"400 - GRIP FRONTAL ANGULAR PICATINNY";"magpul";"Magpul 400 - GRIP FRONTAL ANGULAR PICATINNY | JGO Armeria";"400 - GRIP FRONTAL ANGULAR PICATINNY";"Magpul";"SI";"KEY-400-BK";"";"";""
"magpul-401-grip-frontal-angular-texturado-pic";"Magpul 401 - GRIP FRONTAL ANGULAR TEXTURADO PICATINNY";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"27569.85";"";"1";"15";"10";"30";"5";"KEY-401-BK";"";"SI";"NO";"401 - GRIP FRONTAL ANGULAR TEXTURADO PICATINNY";"magpul";"Magpul 401 - GRIP FRONTAL ANGULAR TEXTURADO PICATINNY | JGO Armeria";"401 - GRIP FRONTAL ANGULAR TEXTURADO PICATINNY";"Magpul";"SI";"KEY-401-BK";"";"";""
"magpul-402-grip-frontal-recto-texturado-picat";"Magpul 402 - GRIP FRONTAL RECTO TEXTURADO PICATINNY";"Accesorios > AR-15 / BAR9";"";"";"";"";"";"";"27569.85";"";"1";"15";"10";"30";"5";"KEY-402-BK";"";"SI";"NO";"402 - GRIP FRONTAL RECTO TEXTURADO PICATINNY";"magpul";"Magpul 402 - GRIP FRONTAL RECTO TEXTURADO PICATINNY | JGO Armeria";"402 - GRIP FRONTAL RECTO TEXTURADO PICATINNY";"Magpul";"SI";"KEY-402-BK";"";"";""
