tn_id,sku,nombre,marca,precio_actual,stock_actual,precio_nuevo,stock_nuevo,notas
351969432,KEY-101-BK,Magpul 101 - PISTOL GRIP ENGOMADO POLIMERO REFORZADO COMPARTIMIENTO PARA GUARDADO,Magpul,29475.60,5,,,
351969435,KEY-102-BK,Magpul 102 - PISTOL GRIP ENGOMADO POLIMERO REFORZADO COMPARTIMIENTO PARA GUARDADO,Magpul,29475.60,5,,,
351969440,KEY-104-BK,Magpul 104 - PISTOL GRIP 15°ENGOMADO POLIMERO REFORZADO COMPARTIMIENTO PARA GUARDADO,Magpul,31635.45,5,,,
351969442,KEY-300-BK,Magpul 300 - JUEGO DE MIRAS FLIP UP PICATINNY BAJAS,Magpul,35574.00,5,,,
351969444,KEY-301-BK,Magpul 301 - JUEGO DE MIRAS FLIP UP PICATINNY ALTAS,Magpul,35574.00,5,,,
351969446,KEY-302-BK,Magpul 302 - JUEGO DE MIRAS FLIP UP AUTOMATICAS PICATINNY,Magpul,38115.00,5,,,
351969447,KEY-303-BK,Magpul 303 - JUEGO DE MIRAS FLIP UP OFFSET A 45° PICATINNY,Magpul,40020.75,5,,,
351969451,KEY-400-BK,Magpul 400 - GRIP FRONTAL ANGULAR PICATINNY,Magpul,27569.85,5,,,
351969452,KEY-401-BK,Magpul 401 - GRIP FRONTAL ANGULAR TEXTURADO PICATINNY,Magpul,27569.85,5,,,
351969454,KEY-402-BK,Magpul 402 - GRIP FRONTAL RECTO TEXTURADO PICATINNY,Magpul,27569.85,5,,,
351969455,KEY-403-BK,Magpul 403 - GRIP FRONTAL RECTO TEXTURADO PICATINNY,Magpul,27569.85,5,,,
351969458,KEY-404-BK,Magpul 404 - GRIP FRONTAL RECTO BIPODE INTEGRADO APERTURA AUTOMATICA PICATINNY,Magpul,71148.00,5,,,
351969460,KEY-405-BK,Magpul 405 - GRIP FRONTAL RECTO TEXTURADO M-LOK,Magpul,31508.40,5,,,
351969465,KEY-406-BK,Magpul 406 - GRIP FRONTAL RECTO BIPODE INTEGRADO APERTURA MANUAL PICATINNY / M-LOK,Magpul,71148.00,5,,,
351969469,KEY-408-BK,Magpul 408 - GRIP FRONTAL RECTO PICATINNY NEGRO,Magpul,27569.85,5,,,
351969475,KEY-408-TAN,Magpul 408 - GRIP FRONTAL RECTO PICATINNY TAN,Magpul,31508.40,5,,,
351969477,KEY-409-BK,Magpul 409 - GRIP FRONTAL RECTO M-LOK NEGRO,Magpul,31508.40,5,,,
351969478,KEY-409-TAN,Magpul 409 - GRIP FRONTAL RECTO M-LOK TAN,Magpul,35446.95,5,,,
351969479,KEY-410-BK,Magpul 410 - GRIP FRONTAL RECTO REBATIBLE M-LOK NEGRO,Magpul,45738.00,5,,,
351969481,KEY-412-BK,Magpul 412 - GRIP FRONTAL RECTO REBATIBLE PICATRINNY NEGRO,Magpul,43197.00,5,,,
351969484,KEY-600,Magpul 600 - ANILLA PARA CORREA QD METALICA,Magpul,19057.50,5,,,
351969486,KEY-601-BK,Magpul 601 - ANILLA PARA CORREA POLIMERO PICATINNY,Magpul,9528.75,5,,,
351969489,KEY-602-BK,Magpul 602 - PROTECTORES TÉRMICOS PARA RIEL LARGO PICATINNY,Magpul,11180.40,5,,,
351969492,KEY-603-BK,Magpul 603 - PROTECTORES TÉRMICOS PARA RIEL CORTO PICATINNY,Magpul,7284.20,5,,,
351969493,KEY-604-BK,Magpul 604 - SET DE RIEL PICATINNY PARA COLOCAR EN M-LOK POLIMERO,Magpul,43832.25,5,,,
351969495,KEY-605,Magpul 605 - CORREA BUJGIE CON GANCHO DE SEGURIDAD,Magpul,32948.30,5,,,
351969498,KEY-606,Magpul 606 - CORREA BUNGIE CON GANCHO QD,Magpul,34472.90,5,,,
351969499,KEY-702A,Magpul 702A - PLACA PORTA CORREA BAR9 / 15 ACERO,Magpul,14534.52,5,,,
351969502,KEY-704,Magpul 704 - PALANCA DE CARGA BAR9 / 15 AMBIDIESTRA ALUMINIO,Magpul,59078.25,5,,,
351969505,KEY-713,Magpul 713 - PALANCAS SELECTORAS BAR9 / 15 AMBIDIESTRA SEMI AUTO ACERO,Magpul,50820.00,5,,,
